uid,human_status,primary_blocker,all_blockers,next_evidence_or_action
landsd/160564:0,Held for unknown state,Native ground/support contact,native-ground-contact,Establish an accepted support assembly or source-backed ground contact; sampled contact alone does not prove membership.
landsd/160975:0,Held for unknown state,Native ground/support contact,native-ground-contact,Establish an accepted support assembly or source-backed ground contact; sampled contact alone does not prove membership.
landsd/162015:0,Held for unknown state,Native ground/support contact,native-ground-contact,Establish an accepted support assembly or source-backed ground contact; sampled contact alone does not prove membership.
landsd/162488:0,Held for unknown state,Native ground/support contact,native-ground-contact,Establish an accepted support assembly or source-backed ground contact; sampled contact alone does not prove membership.
landsd/163258:0,Held for unknown state,Overlapping terrain surfaces,terrain-patch: Native terrain contains overlapping height surfaces,Validate original layered terrain and its highest-surface collision behaviour before allowing overlapping facets.
landsd/165132:0,Held for unknown state,Source-part identity,source-part-identity-not-proven-by-current-contract,Reconcile the native component with the current footprint and source identity; the strict direct-import match is not satisfied.
landsd/165345:0,Held for unknown state,Source-part identity,source-part-identity-not-proven-by-current-contract,Reconcile the native component with the current footprint and source identity; the strict direct-import match is not satisfied.
landsd/177624:0,Held for unknown state,Source-part identity,native-ground-contact | source-part-identity-not-proven-by-current-contract,Reconcile the native component with the current footprint and source identity; the strict direct-import match is not satisfied.
landsd/178901:0,Held for unknown state,Source-part identity,source-part-identity-not-proven-by-current-contract,Reconcile the native component with the current footprint and source identity; the strict direct-import match is not satisfied.
landsd/180629:0,Held for unknown state,Overlapping terrain surfaces,terrain-patch: Native terrain contains overlapping height surfaces,Validate original layered terrain and its highest-surface collision behaviour before allowing overlapping facets.
landsd/183106:0,Installed,Verified source port,,"Verified native source, terrain, neighbour and browser checks"
landsd/18621:0,Held for unknown state,Source-part identity,source-part-identity-not-proven-by-current-contract,Reconcile the native component with the current footprint and source identity; the strict direct-import match is not satisfied.
landsd/186370:0,Held for unknown state,Terrain coverage,native-source-below-grade | native-terrain-coverage,Obtain complete same-revision source terrain coverage for the model and its replacement extent.
landsd/1901:0,Held for unknown state,Source-part identity,native-source-below-grade | source-part-identity-not-proven-by-current-contract,Reconcile the native component with the current footprint and source identity; the strict direct-import match is not satisfied.
landsd/190503:0,Held for unknown state,Native below-grade geometry,native-source-below-grade,Establish the intended below-grade structure or source inconsistency before changing the placement contract.
landsd/191171:0,Held for unknown state,Source-part identity,native-source-below-grade | source-part-identity-not-proven-by-current-contract,Reconcile the native component with the current footprint and source identity; the strict direct-import match is not satisfied.
landsd/191626:0,Held for unknown state,Source-part identity,native-ground-contact | native-source-below-grade | source-part-identity-not-proven-by-current-contract,Reconcile the native component with the current footprint and source identity; the strict direct-import match is not satisfied.
landsd/192284:0,Held for unknown state,Source-part identity,native-ground-contact | source-part-identity-not-proven-by-current-contract,Reconcile the native component with the current footprint and source identity; the strict direct-import match is not satisfied.
landsd/192797:0,Held for unknown state,Source-part identity,source-part-identity-not-proven-by-current-contract,Reconcile the native component with the current footprint and source identity; the strict direct-import match is not satisfied.
landsd/194003:0,Held for unknown state,Source-part identity,native-source-below-grade | source-part-identity-not-proven-by-current-contract,Reconcile the native component with the current footprint and source identity; the strict direct-import match is not satisfied.
landsd/194173:0,Held for unknown state,Source-part identity,native-source-below-grade | source-part-identity-not-proven-by-current-contract,Reconcile the native component with the current footprint and source identity; the strict direct-import match is not satisfied.
landsd/194280:0,Held for unknown state,Source-part identity,source-part-identity-not-proven-by-current-contract,Reconcile the native component with the current footprint and source identity; the strict direct-import match is not satisfied.
landsd/194662:0,Held for unknown state,Source-part identity,native-source-below-grade | source-part-identity-not-proven-by-current-contract,Reconcile the native component with the current footprint and source identity; the strict direct-import match is not satisfied.
landsd/197191:0,Held for unknown state,Source-part identity,source-part-identity-not-proven-by-current-contract,Reconcile the native component with the current footprint and source identity; the strict direct-import match is not satisfied.
landsd/197734:0,Held for unknown state,Source-part identity,source-part-identity-not-proven-by-current-contract,Reconcile the native component with the current footprint and source identity; the strict direct-import match is not satisfied.
landsd/202535:0,Held for unknown state,Terrain coverage,terrain-patch: Native mesh does not cover the exact parent rectangle,Obtain or validate a completely covered source-terrain replacement rectangle with matching boundaries.
landsd/203451:0,Held for unknown state,Source-part identity,native-source-below-grade | source-part-identity-not-proven-by-current-contract,Reconcile the native component with the current footprint and source identity; the strict direct-import match is not satisfied.
landsd/204515:0,Installed,Previously verified source port,,Installed in the preceding acceptance pass
landsd/206537:0,Held for unknown state,Native below-grade geometry,native-source-below-grade,Establish the intended below-grade structure or source inconsistency before changing the placement contract.
landsd/206687:0,Held for unknown state,Source-part identity,native-source-below-grade | source-part-identity-not-proven-by-current-contract,Reconcile the native component with the current footprint and source identity; the strict direct-import match is not satisfied.
landsd/206843:0,Installed,Verified source port,,"Verified native source, terrain, neighbour and browser checks"
landsd/207122:0,Held for unknown state,Native below-grade geometry,native-source-below-grade,Establish the intended below-grade structure or source inconsistency before changing the placement contract.
landsd/208094:0,Held for unknown state,Source-part identity,native-source-below-grade | source-part-identity-not-proven-by-current-contract,Reconcile the native component with the current footprint and source identity; the strict direct-import match is not satisfied.
landsd/209375:0,Held for unknown state,Source-part identity,native-ground-contact | source-part-identity-not-proven-by-current-contract,Reconcile the native component with the current footprint and source identity; the strict direct-import match is not satisfied.
landsd/211455:0,Installed,Verified source port,,"Verified native source, terrain, neighbour and browser checks"
landsd/212117:0,Held for unknown state,Neighbour regression,terrain-correction-regresses-neighbours,Validate a terrain treatment that clears the target without worsening neighbouring model burial or gaps.
landsd/213033:0,Held for unknown state,Source-part identity,source-part-identity-not-proven-by-current-contract,Reconcile the native component with the current footprint and source identity; the strict direct-import match is not satisfied.
landsd/21605:0,Held for unknown state,Source-part identity,source-part-identity-not-proven-by-current-contract,Reconcile the native component with the current footprint and source identity; the strict direct-import match is not satisfied.
landsd/218894:0,Installed,Verified source port,,"Verified native source, terrain, neighbour and browser checks"
landsd/219709:0,Held for unknown state,Source-part identity,native-ground-contact | source-part-identity-not-proven-by-current-contract,Reconcile the native component with the current footprint and source identity; the strict direct-import match is not satisfied.
landsd/225538:0,Held for unknown state,Source-part identity,native-source-below-grade | source-part-identity-not-proven-by-current-contract,Reconcile the native component with the current footprint and source identity; the strict direct-import match is not satisfied.
landsd/229907:0,Held for unknown state,Source-part identity,native-ground-contact | source-part-identity-not-proven-by-current-contract,Reconcile the native component with the current footprint and source identity; the strict direct-import match is not satisfied.
landsd/233165:0,Held for unknown state,Overlapping terrain surfaces,terrain-patch: Native terrain contains overlapping height surfaces,Validate original layered terrain and its highest-surface collision behaviour before allowing overlapping facets.
landsd/233426:0,Held for unknown state,Terrain coverage,terrain-patch: Native mesh does not cover the exact parent rectangle,Obtain or validate a completely covered source-terrain replacement rectangle with matching boundaries.
landsd/234299:0,Held for unknown state,Source-part identity,source-part-identity-not-proven-by-current-contract,Reconcile the native component with the current footprint and source identity; the strict direct-import match is not satisfied.
landsd/235569:0,Held for unknown state,Source-part identity,native-source-below-grade | source-part-identity-not-proven-by-current-contract,Reconcile the native component with the current footprint and source identity; the strict direct-import match is not satisfied.
landsd/239142:0,Held for unknown state,Source-part identity,source-part-identity-not-proven-by-current-contract,Reconcile the native component with the current footprint and source identity; the strict direct-import match is not satisfied.
landsd/240938:0,Held for unknown state,Source-part identity,native-source-below-grade | source-part-identity-not-proven-by-current-contract,Reconcile the native component with the current footprint and source identity; the strict direct-import match is not satisfied.
landsd/242058:0,Held for unknown state,Native below-grade geometry,native-source-below-grade,Establish the intended below-grade structure or source inconsistency before changing the placement contract.
landsd/243309:0,Held for unknown state,Source-part identity,native-source-below-grade | source-part-identity-not-proven-by-current-contract,Reconcile the native component with the current footprint and source identity; the strict direct-import match is not satisfied.
landsd/246794:0,Held for unknown state,Neighbour regression,terrain-correction-regresses-neighbours,Validate a terrain treatment that clears the target without worsening neighbouring model burial or gaps.
landsd/246798:0,Held for unknown state,Source-part identity,native-source-below-grade | source-part-identity-not-proven-by-current-contract,Reconcile the native component with the current footprint and source identity; the strict direct-import match is not satisfied.
landsd/247631:0,Held for unknown state,Neighbour regression,terrain-correction-regresses-neighbours,Validate a terrain treatment that clears the target without worsening neighbouring model burial or gaps.
landsd/247636:0,Held for unknown state,Terrain coverage,terrain-patch: Native mesh does not cover the exact parent rectangle,Obtain or validate a completely covered source-terrain replacement rectangle with matching boundaries.
landsd/247746:0,Held for unknown state,Overlapping terrain surfaces,terrain-patch: Native terrain contains overlapping height surfaces,Validate original layered terrain and its highest-surface collision behaviour before allowing overlapping facets.
landsd/247912:0,Held for unknown state,Source-part identity,native-source-below-grade | source-part-identity-not-proven-by-current-contract,Reconcile the native component with the current footprint and source identity; the strict direct-import match is not satisfied.
landsd/249980:0,Held for unknown state,Source-part identity,source-part-identity-not-proven-by-current-contract,Reconcile the native component with the current footprint and source identity; the strict direct-import match is not satisfied.
landsd/250199:0,Held for unknown state,Overlapping terrain surfaces,terrain-patch: Native terrain contains overlapping height surfaces,Validate original layered terrain and its highest-surface collision behaviour before allowing overlapping facets.
landsd/250200:0,Held for unknown state,Source-part identity,source-part-identity-not-proven-by-current-contract,Reconcile the native component with the current footprint and source identity; the strict direct-import match is not satisfied.
landsd/257763:0,Held for unknown state,Source-part identity,native-source-below-grade | source-part-identity-not-proven-by-current-contract,Reconcile the native component with the current footprint and source identity; the strict direct-import match is not satisfied.
landsd/258419:0,Held for unknown state,Source-part identity,native-source-below-grade | native-terrain-coverage | source-part-identity-not-proven-by-current-contract,Reconcile the native component with the current footprint and source identity; the strict direct-import match is not satisfied.
landsd/259590:0,Held for unknown state,Terrain coverage,terrain-patch: Native mesh does not cover the exact parent rectangle,Obtain or validate a completely covered source-terrain replacement rectangle with matching boundaries.
landsd/260693:0,Held for unknown state,Source-part identity,native-ground-contact | source-part-identity-not-proven-by-current-contract,Reconcile the native component with the current footprint and source identity; the strict direct-import match is not satisfied.
landsd/261750:0,Held for unknown state,Source-part identity,source-part-identity-not-proven-by-current-contract,Reconcile the native component with the current footprint and source identity; the strict direct-import match is not satisfied.
landsd/262504:0,Installed,Verified source port,,"Verified native source, terrain, neighbour and browser checks"
landsd/268878:0,Held for unknown state,Source-part identity,native-ground-contact | source-part-identity-not-proven-by-current-contract,Reconcile the native component with the current footprint and source identity; the strict direct-import match is not satisfied.
landsd/269354:0,Held for unknown state,Native ground/support contact,native-ground-contact,Establish an accepted support assembly or source-backed ground contact; sampled contact alone does not prove membership.
landsd/26956:0,Held for unknown state,Source-part identity,source-part-identity-not-proven-by-current-contract,Reconcile the native component with the current footprint and source identity; the strict direct-import match is not satisfied.
landsd/270082:0,Held for unknown state,Source-part identity,source-part-identity-not-proven-by-current-contract,Reconcile the native component with the current footprint and source identity; the strict direct-import match is not satisfied.
landsd/27103:0,Held for unknown state,Overlapping terrain surfaces,terrain-patch: Native terrain contains overlapping height surfaces,Validate original layered terrain and its highest-surface collision behaviour before allowing overlapping facets.
landsd/27105:0,Held for unknown state,Overlapping terrain surfaces,terrain-patch: Native terrain contains overlapping height surfaces,Validate original layered terrain and its highest-surface collision behaviour before allowing overlapping facets.
landsd/271920:0,Held for unknown state,Source-part identity,source-part-identity-not-proven-by-current-contract,Reconcile the native component with the current footprint and source identity; the strict direct-import match is not satisfied.
landsd/272294:0,Held for unknown state,Source-part identity,source-part-identity-not-proven-by-current-contract,Reconcile the native component with the current footprint and source identity; the strict direct-import match is not satisfied.
landsd/275226:0,Held for unknown state,Source-part identity,native-source-below-grade | source-part-identity-not-proven-by-current-contract,Reconcile the native component with the current footprint and source identity; the strict direct-import match is not satisfied.
landsd/279201:0,Held for unknown state,Source-part identity,source-part-identity-not-proven-by-current-contract,Reconcile the native component with the current footprint and source identity; the strict direct-import match is not satisfied.
landsd/281114:0,Held for unknown state,Source-part identity,native-ground-contact | source-part-identity-not-proven-by-current-contract,Reconcile the native component with the current footprint and source identity; the strict direct-import match is not satisfied.
landsd/28270:0,Held for unknown state,Overlapping terrain surfaces,terrain-patch: Native terrain contains overlapping height surfaces,Validate original layered terrain and its highest-surface collision behaviour before allowing overlapping facets.
landsd/282762:0,Held for unknown state,Source-part identity,source-part-identity-not-proven-by-current-contract,Reconcile the native component with the current footprint and source identity; the strict direct-import match is not satisfied.
landsd/283380:0,Held for unknown state,Source-part identity,source-part-identity-not-proven-by-current-contract,Reconcile the native component with the current footprint and source identity; the strict direct-import match is not satisfied.
landsd/28422:0,Held for unknown state,Terrain coverage,terrain-patch: Native mesh does not cover the exact parent rectangle,Obtain or validate a completely covered source-terrain replacement rectangle with matching boundaries.
landsd/285997:0,Held for unknown state,Source-part identity,source-part-identity-not-proven-by-current-contract,Reconcile the native component with the current footprint and source identity; the strict direct-import match is not satisfied.
landsd/28635:0,Held for unknown state,Source-part identity,source-part-identity-not-proven-by-current-contract,Reconcile the native component with the current footprint and source identity; the strict direct-import match is not satisfied.
landsd/28638:0,Held for unknown state,Source-part identity,native-source-below-grade | source-part-identity-not-proven-by-current-contract,Reconcile the native component with the current footprint and source identity; the strict direct-import match is not satisfied.
landsd/28702:0,Held for unknown state,Overlapping terrain surfaces,terrain-patch: Native terrain contains overlapping height surfaces,Validate original layered terrain and its highest-surface collision behaviour before allowing overlapping facets.
landsd/28820:0,Held for unknown state,Neighbour regression,terrain-correction-regresses-neighbours,Validate a terrain treatment that clears the target without worsening neighbouring model burial or gaps.
landsd/288607:0,Held for unknown state,Native ground/support contact,native-ground-contact,Establish an accepted support assembly or source-backed ground contact; sampled contact alone does not prove membership.
landsd/288815:0,Held for unknown state,Source-part identity,source-part-identity-not-proven-by-current-contract,Reconcile the native component with the current footprint and source identity; the strict direct-import match is not satisfied.
landsd/28990:0,Held for unknown state,Native below-grade geometry,native-source-below-grade,Establish the intended below-grade structure or source inconsistency before changing the placement contract.
landsd/29025:0,Held for unknown state,Terrain coverage,terrain-patch: Native mesh does not cover the exact parent rectangle,Obtain or validate a completely covered source-terrain replacement rectangle with matching boundaries.
landsd/29053:0,Held for unknown state,Neighbour regression,terrain-correction-regresses-neighbours,Validate a terrain treatment that clears the target without worsening neighbouring model burial or gaps.
landsd/29394:0,Held for unknown state,Native ground/support contact,native-ground-contact,Establish an accepted support assembly or source-backed ground contact; sampled contact alone does not prove membership.
landsd/29575:0,Held for unknown state,Neighbour regression,terrain-correction-regresses-neighbours,Validate a terrain treatment that clears the target without worsening neighbouring model burial or gaps.
landsd/29965:0,Held for unknown state,Native below-grade geometry,native-source-below-grade,Establish the intended below-grade structure or source inconsistency before changing the placement contract.
landsd/299814:0,Installed,Verified source port,,"Verified native source, terrain, neighbour and browser checks"
landsd/30030:0,Held for unknown state,Native ground/support contact,native-ground-contact,Establish an accepted support assembly or source-backed ground contact; sampled contact alone does not prove membership.
landsd/303373:0,Held for unknown state,Native below-grade geometry,native-source-below-grade,Establish the intended below-grade structure or source inconsistency before changing the placement contract.
landsd/30488:0,Held for unknown state,Source-part identity,source-part-identity-not-proven-by-current-contract,Reconcile the native component with the current footprint and source identity; the strict direct-import match is not satisfied.
landsd/305127:0,Held for unknown state,Native ground/support contact,native-ground-contact,Establish an accepted support assembly or source-backed ground contact; sampled contact alone does not prove membership.
landsd/30588:0,Held for unknown state,Source-part identity,source-part-identity-not-proven-by-current-contract,Reconcile the native component with the current footprint and source identity; the strict direct-import match is not satisfied.
landsd/30645:0,Held for unknown state,Terrain coverage,terrain-patch: Native mesh does not cover the exact parent rectangle,Obtain or validate a completely covered source-terrain replacement rectangle with matching boundaries.
landsd/306907:0,Held for unknown state,Existing source review,existing-source-review-requires-resolution | native-ground-contact,Resolve the existing source review restriction with fresh source evidence.
landsd/30725:0,Held for unknown state,Source-part identity,native-source-below-grade | source-part-identity-not-proven-by-current-contract,Reconcile the native component with the current footprint and source identity; the strict direct-import match is not satisfied.
landsd/308918:0,Held for unknown state,Native ground/support contact,native-ground-contact,Establish an accepted support assembly or source-backed ground contact; sampled contact alone does not prove membership.
landsd/310307:0,Held for unknown state,Source-part identity,source-part-identity-not-proven-by-current-contract,Reconcile the native component with the current footprint and source identity; the strict direct-import match is not satisfied.
landsd/314322:0,Held for unknown state,Source-part identity,native-source-below-grade | source-part-identity-not-proven-by-current-contract,Reconcile the native component with the current footprint and source identity; the strict direct-import match is not satisfied.
landsd/31451:0,Held for unknown state,Source-part identity,source-part-identity-not-proven-by-current-contract,Reconcile the native component with the current footprint and source identity; the strict direct-import match is not satisfied.
landsd/318049:0,Held for unknown state,Native ground/support contact,native-ground-contact,Establish an accepted support assembly or source-backed ground contact; sampled contact alone does not prove membership.
landsd/318697:0,Held for unknown state,Native ground/support contact,native-ground-contact,Establish an accepted support assembly or source-backed ground contact; sampled contact alone does not prove membership.
landsd/318996:0,Held for unknown state,Native below-grade geometry,native-source-below-grade,Establish the intended below-grade structure or source inconsistency before changing the placement contract.
landsd/323888:0,Held for unknown state,Source-part identity,source-part-identity-not-proven-by-current-contract,Reconcile the native component with the current footprint and source identity; the strict direct-import match is not satisfied.
landsd/32878:0,Held for unknown state,Source-part identity,source-part-identity-not-proven-by-current-contract,Reconcile the native component with the current footprint and source identity; the strict direct-import match is not satisfied.
landsd/32979:0,Held for unknown state,Land/water contract,terrain-patch: native-terrain-near-water-clamp,Resolve native height and ground-sampler behaviour near water while preserving the source elevations.
landsd/330352:0,Held for unknown state,Neighbour regression,terrain-correction-regresses-neighbours,Validate a terrain treatment that clears the target without worsening neighbouring model burial or gaps.
landsd/33091:0,Held for unknown state,Source-part identity,source-part-identity-not-proven-by-current-contract,Reconcile the native component with the current footprint and source identity; the strict direct-import match is not satisfied.
landsd/332500:0,Held for unknown state,Source-part identity,source-part-identity-not-proven-by-current-contract,Reconcile the native component with the current footprint and source identity; the strict direct-import match is not satisfied.
landsd/332506:0,Held for unknown state,Source-part identity,source-part-identity-not-proven-by-current-contract,Reconcile the native component with the current footprint and source identity; the strict direct-import match is not satisfied.
landsd/332917:0,Held for unknown state,Source-part identity,source-part-identity-not-proven-by-current-contract,Reconcile the native component with the current footprint and source identity; the strict direct-import match is not satisfied.
landsd/33363:0,Held for unknown state,Overlapping terrain surfaces,terrain-patch: Native terrain contains overlapping height surfaces,Validate original layered terrain and its highest-surface collision behaviour before allowing overlapping facets.
landsd/335668:0,Held for unknown state,Source-part identity,source-part-identity-not-proven-by-current-contract,Reconcile the native component with the current footprint and source identity; the strict direct-import match is not satisfied.
landsd/33572:0,Held for unknown state,Source-part identity,source-part-identity-not-proven-by-current-contract,Reconcile the native component with the current footprint and source identity; the strict direct-import match is not satisfied.
landsd/33584:0,Held for unknown state,Source-part identity,source-part-identity-not-proven-by-current-contract,Reconcile the native component with the current footprint and source identity; the strict direct-import match is not satisfied.
landsd/33606:0,Held for unknown state,Native below-grade geometry,native-source-below-grade,Establish the intended below-grade structure or source inconsistency before changing the placement contract.
landsd/33786:0,Held for unknown state,Native below-grade geometry,native-source-below-grade,Establish the intended below-grade structure or source inconsistency before changing the placement contract.
landsd/33845:0,Held for unknown state,Native below-grade geometry,native-source-below-grade,Establish the intended below-grade structure or source inconsistency before changing the placement contract.
landsd/339484:0,Held for unknown state,Neighbour regression,terrain-correction-regresses-neighbours,Validate a terrain treatment that clears the target without worsening neighbouring model burial or gaps.
landsd/339566:0,Held for unknown state,Native ground/support contact,native-ground-contact,Establish an accepted support assembly or source-backed ground contact; sampled contact alone does not prove membership.
landsd/33975:0,Held for unknown state,Source-part identity,source-part-identity-not-proven-by-current-contract,Reconcile the native component with the current footprint and source identity; the strict direct-import match is not satisfied.
landsd/340387:0,Held for unknown state,Source-part identity,source-part-identity-not-proven-by-current-contract,Reconcile the native component with the current footprint and source identity; the strict direct-import match is not satisfied.
landsd/341772:0,Held for unknown state,Terrain coverage,terrain-patch: Native mesh does not cover the exact parent rectangle,Obtain or validate a completely covered source-terrain replacement rectangle with matching boundaries.
landsd/4325:0,Held for unknown state,Terrain coverage,terrain-patch: Native mesh does not cover the exact parent rectangle,Obtain or validate a completely covered source-terrain replacement rectangle with matching boundaries.
landsd/43783:0,Held for unknown state,Source-part identity,source-part-identity-not-proven-by-current-contract,Reconcile the native component with the current footprint and source identity; the strict direct-import match is not satisfied.
landsd/44098:0,Held for unknown state,Overlapping terrain surfaces,terrain-patch: Native terrain contains overlapping height surfaces,Validate original layered terrain and its highest-surface collision behaviour before allowing overlapping facets.
landsd/4492:0,Held for unknown state,Terrain coverage,terrain-patch: Native mesh does not cover the exact parent rectangle,Obtain or validate a completely covered source-terrain replacement rectangle with matching boundaries.
landsd/51083:0,Held for unknown state,Source-part identity,source-part-identity-not-proven-by-current-contract,Reconcile the native component with the current footprint and source identity; the strict direct-import match is not satisfied.
landsd/53136:0,Held for unknown state,Source-part identity,source-part-identity-not-proven-by-current-contract,Reconcile the native component with the current footprint and source identity; the strict direct-import match is not satisfied.
landsd/53947:0,Held for unknown state,Source-part identity,native-source-below-grade | source-part-identity-not-proven-by-current-contract,Reconcile the native component with the current footprint and source identity; the strict direct-import match is not satisfied.
landsd/6643:0,Held for unknown state,Native ground/support contact,native-ground-contact,Establish an accepted support assembly or source-backed ground contact; sampled contact alone does not prove membership.
landsd/70317:0,Held for unknown state,Native below-grade geometry,native-source-below-grade,Establish the intended below-grade structure or source inconsistency before changing the placement contract.
landsd/70369:0,Held for unknown state,Source-part identity,source-part-identity-not-proven-by-current-contract,Reconcile the native component with the current footprint and source identity; the strict direct-import match is not satisfied.
landsd/70967:0,Held for unknown state,Terrain coverage,terrain-patch: Native mesh does not cover the exact parent rectangle,Obtain or validate a completely covered source-terrain replacement rectangle with matching boundaries.
landsd/74990:0,Held for unknown state,Terrain coverage,terrain-patch: Native mesh does not cover the exact parent rectangle,Obtain or validate a completely covered source-terrain replacement rectangle with matching boundaries.
landsd/75747:0,Held for unknown state,Source-part identity,native-source-below-grade | source-part-identity-not-proven-by-current-contract,Reconcile the native component with the current footprint and source identity; the strict direct-import match is not satisfied.
landsd/78143:0,Held for unknown state,Source-part identity,native-terrain-coverage | source-part-identity-not-proven-by-current-contract,Reconcile the native component with the current footprint and source identity; the strict direct-import match is not satisfied.
landsd/78415:0,Installed,Verified source port,,"Verified native source, terrain, neighbour and browser checks"
landsd/80213:0,Held for unknown state,Source-part identity,native-source-below-grade | source-part-identity-not-proven-by-current-contract,Reconcile the native component with the current footprint and source identity; the strict direct-import match is not satisfied.
landsd/80668:0,Held for unknown state,Native ground/support contact,native-ground-contact,Establish an accepted support assembly or source-backed ground contact; sampled contact alone does not prove membership.
landsd/80918:0,Held for unknown state,Native ground/support contact,native-ground-contact,Establish an accepted support assembly or source-backed ground contact; sampled contact alone does not prove membership.
landsd/80942:0,Held for unknown state,Source-part identity,source-part-identity-not-proven-by-current-contract,Reconcile the native component with the current footprint and source identity; the strict direct-import match is not satisfied.
landsd/80978:0,Held for unknown state,Native ground/support contact,native-ground-contact,Establish an accepted support assembly or source-backed ground contact; sampled contact alone does not prove membership.
landsd/81096:0,Held for unknown state,Source-part identity,native-source-below-grade | source-part-identity-not-proven-by-current-contract,Reconcile the native component with the current footprint and source identity; the strict direct-import match is not satisfied.
landsd/81123:0,Held for unknown state,Source-part identity,native-source-below-grade | source-part-identity-not-proven-by-current-contract,Reconcile the native component with the current footprint and source identity; the strict direct-import match is not satisfied.
landsd/81204:0,Held for unknown state,Source-part identity,source-part-identity-not-proven-by-current-contract,Reconcile the native component with the current footprint and source identity; the strict direct-import match is not satisfied.
landsd/81553:0,Held for unknown state,Land/water contract,terrain-patch: parent-water-mask,Reconcile the source land/terrain with the current water-mask contract without moving source models.
landsd/81604:0,Held for unknown state,Source-part identity,source-part-identity-not-proven-by-current-contract,Reconcile the native component with the current footprint and source identity; the strict direct-import match is not satisfied.
