# section|id|OSM feature|English title|Traditional Chinese|description|access note (optional)
13.6|ma-liu-shui-pier|way/709245126|Ma Liu Shui ferry approach|馬料水渡輪碼頭入口|Explore the shore near the ferry pier and Chinese University hills.|
13.7|shing-mun-lead-mine|way/271203780|Lead Mine Pass trail connection|鉛礦坳山徑接點|Browse the wooded trail connection above Sha Tin and Shing Mun.|
14.1|tai-po-market-garden|way/189410346|Tai Po Market garden|大埔墟休憩花園|Begin amongst the streets and public garden around Tai Po Market.|
14.2|tai-po-waterfront|way/111577520|Tai Po Waterfront Park|大埔海濱公園|Explore the waterfront park between the new town and Tolo Harbour.|
14.3|science-park-waterfront|relation/12638453|Science Park and Pak Shek Kok|科學園與白石角|Browse the Science Park campus and public waterfront setting at Pak Shek Kok.|
14.4|lam-tsuen-square|way/147224415|Lam Tsuen Wishing Square|林村許願廣場|Explore the village square and the rural Lam Tsuen valley.|
14.5|tai-mei-tuk-trail|way/308478793|Tai Mei Tuk family walk|大美督家樂徑|A coastal trail arrival beside Plover Cove Reservoir and Tai Mei Tuk.|
14.6|ma-shi-chau-trail|way/134846907|Ma Shi Chau nature trail|馬屎洲自然教育徑|Explore the island's mapped nature trail and the eastern Tolo Harbour shore.|
14.7|wong-shek-trail|way/423067599|Wong Shek family walk|黃石家樂徑|Explore the wooded shore around Wong Shek in Tai Po's Sai Kung North area.|
15.1|tko-waterfront-park|way/311764682|Tseung Kwan O waterfront|將軍澳海濱|Explore the waterfront park and the town's coastal pedestrian connections.|
15.2|po-lam-garden|way/657755936|Po Lam and Hang Hau approach|寶琳與坑口入口|Start at Po Lam's public sitting-out area amongst the town's residential neighbourhoods.|
15.3|lohas-road-garden|way/1443435540|LOHAS Park waterfront approach|康城海濱入口|Explore the public garden near LOHAS Park and the eastern Junk Bay shore.|
15.4|sai-kung-waterfront|way/266586309|Sai Kung town waterfront|西貢市海濱|Begin by the waterfront park to explore Sai Kung town and its piers.|
15.5|clear-water-bay-trail|way/809421241|Clear Water Bay tree walk|清水灣樹木研習徑|Explore the country-park approach around Tai Au Mun and the Clear Water Bay peninsula.|
15.6|pak-tam-chung-trail|way/103002865|Pak Tam Chung nature trail|北潭涌自然教育徑|A public trail approach to the eastern country park and High Island Reservoir area.|
15.7|ham-tin-beach|way/245413792|Ham Tin Wan|鹹田灣|Explore the mapped beach and nearby paths of Tai Long Wan.|
15.8|sharp-island-trail|way/282307137|Sharp Island geo trail|橋咀洲地質步道|Follow the mapped trail around Sharp Island's western beach and shore.|
15.9|tung-lung-pier|way/102303670|Tung Lung Chau|東龍洲|Browse the island around its public pier and nearby walking paths.|
16.1|tuen-mun-park|way/55444337|Tuen Mun Park|屯門公園|Explore the town-centre park and river corridor.|
16.2|siu-hong|way/41178206|Siu Hong station approach|兆康站入口|Explore the northern residential neighbourhoods around the station's public approaches.|
16.3|butterfly-beach-park|way/148190099|Butterfly Beach Park|蝴蝶灣公園|Explore the park and western residential waterfront near Tuen Mun ferry pier.|
16.4|golden-beach|way/439181304|Golden Beach and Gold Coast|黃金泳灘與黃金海岸|Explore the mapped beach beside Castle Peak Bay and the Gold Coast.|
16.5|lung-kwu-tan-lookout|node/1485618943|Lung Kwu Tan lookout|龍鼓灘瞭望台|Browse the coastal village and western slopes from the mapped lookout approach.|
16.6|lung-kwu-chau|way/174627731|Lung Kwu Chau and western waters|龍鼓洲與西部水域|An aerial coastal view of the island within the Sha Chau and Lung Kwu Chau Marine Park.|Aerial overview only; no verified public arrival or scheduled public transport is provided for this marine-park island.
16.7|tsang-tsui|way/691588854|Tsang Tsui coastal approach|曾咀海岸入口|Browse the mapped road setting near the western coastal facilities and Black Point.|
17.1|yuen-long-park|way/157811032|Yuen Long Park|元朗公園|Explore the town's public park and surrounding residential streets.|
17.2|tin-shui-wai-park|way/25637587|Tin Shui Wai Park|天水圍公園|Explore the park at the heart of Tin Shui Wai, with Ping Shan to the south.|
17.3|ha-pak-nai|way/318219909|Ha Pak Nai coast|下白泥海岸|Browse the rural coastal approach near Ha Pak Nai's historic fortified structure.|
17.4|hung-shui-kiu|way/448228055|Hung Shui Kiu market approach|洪水橋街市入口|Explore the public street approaches around Hung Shui Kiu's temporary market.|
17.5|kam-tin-market|way/449876390|Kam Tin market playground|錦田街市遊樂場|A village-centre arrival for the Kam Tin and Pat Heung rural area.|
17.6|nam-sang-wai|way/103645711|Nam Sang Wai river approach|南生圍河畔入口|Browse the mapped road and nearby paths around the Kam Tin River wetlands.|
17.7|san-tin-park|way/260760038|San Tin Park|新田公園|Explore San Tin's public park outside the restricted wetland and border-control sites.|
17.8|tai-tong-trail|way/95749654|Tai Tong nature trail|大棠自然教育徑|Explore the wooded uplands and trail links into Tai Lam Country Park.|
18.1|luen-wo-playground|way/208971157|Fanling and Luen Wo Hui|粉嶺與聯和墟|Begin by the market-side public playground to explore Luen Wo Hui and Fanling.|
18.2|sheung-shui-garden|way/255289151|Sheung Shui garden|上水花園|Explore the public garden and surrounding streets of Sheung Shui.|
18.3|sha-tau-kok|way/658726215|Sha Tau Kok and Starling Inlet|沙頭角與沙頭角海|An aerial browse of the town's mapped promenade and harbour.|Aerial overview only in the viewer; real-world entry to Sha Tau Kok requires a Tourism Closed Area Permit. Chung Ying Street is excluded.
18.4|ping-che-playground|way/722685062|Ping Che rural centre|坪輋鄉郊中心|Explore the mapped public playground and village approaches at Ping Che.|
18.5|lin-ma-hang-border|node/7174065164|Lin Ma Hang border landscape|蓮麻坑邊境地景|An aerial reference for the eastern border villages and surrounding hills.|Aerial overview only; border access and closed-area restrictions are not modelled as walkable routes.
18.6|luk-keng-village|way/696281456|Luk Keng village approach|鹿頸村入口|Explore the village playground and foothill paths beside Starling Inlet.|
18.7|lai-chi-wo-trail|way/249657682|Lai Chi Wo nature trail|荔枝窩自然步道|Explore the mapped village-edge trail and Yan Chau Tong coastal setting.|
18.8|kat-o-main-street|way/705937307|Kat O village and coast|吉澳村與海岸|Explore the mapped village street and coastal setting of Kat O.|
# Additional representatives for long sections with distinct coastal or rural places.
11.4|chuen-lung|way/306476306|Chuen Lung village trail|川龍村徑|A village trail approach below Tai Mo Shan.|
12.6|tsing-yi-nature-trail|way/139958742|Tsing Yi Reunification Trail|青衣回歸徑|Explore the island's hill paths above the channel and bridge approaches.|
14.4|tai-po-kau-walk|way/58702470|Tai Po Kau forest walks|大埔滘林徑|Explore the mapped forest path in the nature reserve.|
14.7|hoi-ha-trail|way/90793914|Hoi Ha Wan nature trail|海下灣自然教育徑|Explore the mapped nature trail around Hoi Ha Wan Marine Park.|
15.6|high-island-geo-trail|way/133800998|High Island geo trail|萬宜地質步道|Explore the mapped trail near High Island Reservoir's eastern dam and Po Pin Chau.|
15.7|long-ke-wan|way/85964199|Long Ke Wan|浪茄灣|Explore the mapped sandy bay and nearby country-park trail.|
17.3|lau-fau-shan|way/144358836|Lau Fau Shan coastal approach|流浮山海岸入口|Start on the village-side public approach near the seafood-market coast.|
18.4|ta-kwu-ling-playground|way/447880861|Ta Kwu Ling playground|打鼓嶺遊樂場|Explore the public village playground and rural roads around Ta Kwu Ling.|
18.8|ap-chau-route|way/337004520|Ap Chau geo route|鴨洲地質步道|Browse the tiny island's mapped geo route and village shore.|
